strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,89,Xiu,50000.00,Lose,97280000.00,-2.72%
Player1_Martingale,90,Xiu,100000.00,Lose,97180000.00,-2.82%
Player1_Martingale,91,Tai,200000.00,Win,97370000.00,-2.63%
Player1_Martingale,92,Tai,50000.00,Lose,97320000.00,-2.68%
Player1_Martingale,93,Tai,100000.00,Win,97415000.00,-2.58%
Player1_Martingale,94,Tai,50000.00,Lose,97365000.00,-2.63%
Player1_Martingale,95,Xiu,100000.00,Win,97460000.00,-2.54%
Player1_Martingale,96,Tai,50000.00,Lose,97410000.00,-2.59%
Player1_Martingale,97,Xiu,100000.00,Lose,97310000.00,-2.69%
Player1_Martingale,98,Xiu,200000.00,Lose,97110000.00,-2.89%
Player1_Martingale,99,Tai,400000.00,Win,97490000.00,-2.51%
Player1_Martingale,100,Tai,50000.00,Lose,97440000.00,-2.56%
Player1_Martingale,101,Xiu,100000.00,Win,97535000.00,-2.46%
Player1_Martingale,102,Xiu,50000.00,Lose,97485000.00,-2.51%
Player1_Martingale,103,Xiu,100000.00,Win,97580000.00,-2.42%
Player1_Martingale,104,Xiu,50000.00,Lose,97530000.00,-2.47%
Player1_Martingale,105,Xiu,100000.00,Lose,97430000.00,-2.57%
Player1_Martingale,106,Xiu,200000.00,Lose,97230000.00,-2.77%
Player1_Martingale,107,Tai,400000.00,Lose,96830000.00,-3.17%
Player1_Martingale,108,Xiu,800000.00,Win,97590000.00,-2.41%
Player1_Martingale,109,Xiu,50000.00,Lose,97540000.00,-2.46%
Player1_Martingale,110,Tai,100000.00,Lose,97440000.00,-2.56%
Player1_Martingale,111,Tai,200000.00,Win,97630000.00,-2.37%
Player1_Martingale,112,Xiu,50000.00,Lose,97580000.00,-2.42%
Player1_Martingale,113,Tai,100000.00,Lose,97480000.00,-2.52%
Player1_Martingale,114,Tai,200000.00,Win,97670000.00,-2.33%
Player1_Martingale,115,Xiu,50000.00,Lose,97620000.00,-2.38%
Player1_Martingale,116,Tai,100000.00,Lose,97520000.00,-2.48%
Player1_Martingale,117,Xiu,200000.00,Lose,97320000.00,-2.68%
Player1_Martingale,118,Xiu,400000.00,Lose,96920000.00,-3.08%
Player1_Martingale,119,Tai,800000.00,Lose,96120000.00,-3.88%
Player1_Martingale,120,Tai,1000000.00,Lose,95120000.00,-4.88%
Player1_Martingale,121,Xiu,1000000.00,Win,96070000.00,-3.93%
Player1_Martingale,122,Xiu,50000.00,Lose,96020000.00,-3.98%
Player1_Martingale,123,Tai,100000.00,Win,96115000.00,-3.89%
Player1_Martingale,124,Tai,50000.00,Win,96162500.00,-3.84%
Player1_Martingale,125,Xiu,50000.00,Lose,96112500.00,-3.89%
Player1_Martingale,126,Xiu,100000.00,Win,96207500.00,-3.79%
Player1_Martingale,127,Tai,50000.00,Lose,96157500.00,-3.84%
Player1_Martingale,128,Xiu,100000.00,Win,96252500.00,-3.75%
Player1_Martingale,129,Xiu,50000.00,Lose,96202500.00,-3.80%
Player1_Martingale,130,Xiu,100000.00,Lose,96102500.00,-3.90%
